claim,speaker,subject,label,label_str
Says in 1944 we were in debt more than twice as much as we are now.,rush-holt,"deficit,economy,federal-budget",0,false
Says Ronda Storms voted to fund the Taj Mahal courthouse.,rob-turner,"message-machine-2012,state-budget",1,mostly-true
"In France, they have a (surveillance) program a thousandfold more invasive than the United States.",rand-paul,"homeland-security,terrorism",1,mostly-true
"One-half of undocumented workers pay federal income taxes, which means they are paying more federal income taxes than Donald Trump pays.",hillary-clinton,"candidates-biography,immigration,taxes",1,half-true
Last week the Blue Chip Economic Indicators came out that surveys lots of private forecasters. Almost all of them are predicting a turnaround in the third quarter and positive growth in the fourth quarter.,christina-romer,economy,1,true
"Since the United States began negotiations with Iran, thats probably the first year and a half in which Iran has not advanced its nuclear program in the last decade.",barack-obama,"foreign-policy,nuclear",1,mostly-true
"Says Ohios I-X Center used to be a great plant, but thousands of people of worked here, and they left when their jobs were moved overseas.",donald-trump,"corrections-and-updates,jobs",0,false
"Weve got a 1,000 National Guard troop request thats been in front of this president for over a year and no response.",rick-perry,immigration,1,half-true
"Under a new law, doctors performing drug-induced abortions could be charged if women dont return to them for follow-up care",wisconsin-medical-society,"abortion,legal-issues,women",0,false
Says veterans disability claims backlog doubled in Obamas first term.,john-cornyn,veterans,1,true
"At a minimum, 40 percent of those who view child pornography end up molesting children as a result.",mike-dewine,"children,crime",0,barely-true
"In 67 different ways, Governor McCrory has raised taxes on middle income families.",roy-cooper,"economy,job-accomplishments,state-finances,taxes,workers",1,half-true
Romney adviser admits Romneycare was blueprint for Obamacare.,rick-santorum,"candidates-biography,health-care,message-machine-2012",1,mostly-true
Says Texas voters are being asked to act this November on a proposed constitutional amendment affecting property taxes.,chain-email,"elections,taxes",0,pants-fire
"Its hard to get people in Portland to vote yes on ballot measures, especially when theres opposition.",friends-voter-owned-elections,"campaign-finance,voting-record",0,barely-true
The @nytimes sent a letter to their subscribers apologizing for their BAD coverage of me.,donald-trump,elections,0,false
Some businesses in Oregon are having to shrink back their businesses as a result of the law.,monica-wehby,"corrections-and-updates,health-care",1,true
Says 11 straight years of no major hurricanes striking land in the United States bores a hole right through the whole climate change argument.,rush-limbaugh,climate-change,0,pants-fire
"We spend more money on health care per capita in the United States than any other country in the world. Of the 30 developed countries in the world, we spend 2 1/2 times more than the average. Of the country that spends the second most per capita, Switzerland, we spend 175 percent more.",david-dewhurst,health-care,1,half-true
I have 2 and a half million more votes than he (Sanders) does.,hillary-clinton,elections,1,mostly-true
On abortion,mitt-romney,"abortion,corrections-and-updates",0,false
Members of Congress receive full pay retirement after serving one term.,chain-email,"federal-budget,income,public-service,retirement,social-security",0,pants-fire
"Says he worked with the Democratic legislature to balance spending with revenues so that at the end of my four-year term, the rainy day fund was established at more than $2 billion.",mitt-romney,"economy,new-hampshire-2012,state-budget,state-finances",1,mostly-true
"In 2010 alone, 1,270 infants were reported to have died following attempted abortions and notably that is only one year.",americans-united-life,abortion,0,false
Says the No. 2 cause of death in the U.S. (for) women under 50 is being killed by their spouse or domestic partner.,rod-monroe,"crime,families,women",0,false
"Just about everyone everywhere is spending more hours on the job, less time with their families, bringing home smaller and smaller paychecks, while theyre paying more and more at the gas pump and the grocery stores.",ed-fitzgerald,"economy,income,jobs,labor,workers",1,mostly-true
The hour of sleep you lose during the change to daylight saving time might initially pose some health risks.,joel-keehn,science,1,true
David Perdue said hed raise taxes.,jack-kingston,taxes,1,half-true
I am the first Latina to run for governor of Texas.,miriam-martinez,"candidates-biography,diversity,elections,history",0,false
Says Every legislative district in the state has at least one craft brewery and countless home brewers.,mark-johnson,"Alcohol,economy",0,false
"Wisconsins criminal threshold for drunken-driving is way out of line with states surrounding us, which have the second offense as a felony.",alberta-darling,"Alcohol,criminal-justice,state-budget,transportation",0,barely-true
"In Ohio, we invested in our children, raising school funding by 5.5 percent in the last budget.",ted-strickland,education,0,false
"The poverty level in the Dallas school district is one of the highest in the country, higher than New York, Chicago, Los Angeles, Houston, Detroit and Newark.",dan-micciche,"education,poverty",1,mostly-true
"Says in the last six months of the Bush administration, the U.S. lost 3.5 million jobs, including 760,000 jobs during January 2009 alone.",joe-biden,"economy,job-accomplishments",1,mostly-true
"In 2007, when Nancy Pelosi met with President Assad of Syria, nobody got upset.",sean-hannity,"bush-administration,foreign-policy,terrorism",0,false
"For the past eight years, Gov. Carcieri and Mrs. Carcieri would host the lighting of the State House Christmas tree.",john-depetro,religion,0,false
Rhode Island has the the second-most heavily deployed National Guard in the United States.,sheldon-whitehouse,"afghanistan,iraq,military,states",1,true
"Says Demond Means, turnaround district superintendent for Milwaukee Public Schools, said the district needs to be gutted.",wisconsin-jobs-now,education,0,pants-fire
"SaysVirginia RepublicanScott Taylor has been convicted in at least four different courts across the country, at times failing to even appear, and having a warrant issued for his arrest.",randy-forbes,campaign-advertising,1,half-true
Nearly 90% of Travis County government races will be settled by the time of the Democratic primary.,wayne-thorburn,"county-government,elections",1,mostly-true
"Says Mahatma Gandhi once said, First they ignore you, then they laugh at you, then they fight you, then you win.",donald-trump,history,0,false
"Savings that I achieved helped fund cameras on the border. As a result, more than 21,500 arrests have been made and 46 tons of narcotics confiscated.",todd-staples,"crime,immigration,state-budget,state-finances",1,half-true
The American people will be appalled to learn the health care bill exempts (congressional) leadership and committee staff.,tom-coburn,health-care,1,mostly-true
Says the number of Americans living at or below the poverty line is at its highest level since 1964.,barbara-buono,poverty,1,mostly-true
The IRS will have the ability potentially to deny or delay health care.,michele-bachmann,"health-care,taxes",0,barely-true
"Deregulation of the states telecommunications industry will create 50,000 jobs in Wisconsin.",rich-zipperer,jobs,0,barely-true
"We admit about 100,000 permanent immigrants from the Middle East every year.",donald-trump,immigration,1,mostly-true
Says paid family leave is a program that is standard in all but five nations around the world.,family-forward-oregon,"children,families,labor,women,workers",1,mostly-true
"Nearly 14,000 Wisconsinites have lost their job since Governor Walker and the Republicans took over in January.",mark-miller,jobs,0,false
"Says in the last 20 years, the French have not stood by the United States on foreign policy.",rick-santorum,"foreign-policy,history,military",0,pants-fire
"For the average middle-class family, your taxes today are lower than when I took office.",barack-obama,"job-accomplishments,taxes",1,true
"There's more than 100,000 people working at the Department of Agriculture. That's 1 employee for every 30 farmers.",george-lemieux,"agriculture,federal-budget",1,half-true
Says Attorney General Loretta Lynch was a member of Bill Clintons defense team during the 1992 Whitewater corruption probe.,viral-image,"candidates-biography,crime,criminal-justice,history",0,pants-fire
"Says thousands at a Manhattan rally for Donald Trump were chanting We hate Muslims, we hate blacks, we want our great country back.",social-media,"diversity,islam",0,pants-fire
"Barack Obama ""passed laws moving people from welfare to work.""",barack-obama,poverty,1,mostly-true
"Says Mitt Romney is wrong to claim that spending under Obama has accelerated at a pace without precedent in recent history, because its actually risen slower than at any time in nearly 60 years.",facebook-posts,"corrections-and-updates,economy,federal-budget,history,stimulus",1,mostly-true
Says President Barack Obama promised a pathway to citizenship to undocumented immigrants and didnt deliver jack squat on any of it.,reince-priebus,"children,families,homeland-security,immigration",1,mostly-true
California has robust job growth that outpaces the rest of the nation.,kevin-de-leon,"climate-change,economy,energy,jobs",1,mostly-true
"The amount of debt is on pace to double in five years and triple in 10. The federal debt is now over $100,000 per household.",bob-mcdonnell,federal-budget,1,half-true
"The minute this proposal for near-beach oil drilling came up, I was against it.",alex-sink,oil-spill,1,half-true
The proposed Gogebic mine in northern Wisconsin could be extended as long as 21 miles.,dan-kaufman,environment,1,half-true
"The Richardson-Denish administration gave 50,000 drivers licenses to illegal immigrants in New Mexico.",susana-martinez,"immigration,message-machine",0,barely-true
"If youre a Mexican, you get sent back. ... But if youre from a noncontiguous country like the Central American countries then you can stay in the United States.",henry-cuellar,"children,human-rights,immigration",1,true
"Says the United States actually exports more gasoline, diesel and other fuels than it imported in 2011 for the first time since, I think, 1949.",robert-menendez,energy,1,true
Says Richard Burr was one of only three senators who voted against a ban on insider trading for members of Congress. And he called that vote brave.,deborah-ross,"congress,congressional-rules,ethics,legal-issues,voting-record",1,true
Christian Pastor in Vermont Sentenced to One Year in Prison After Refusing to Marry Gay Couple,blog-posting,"diversity,legal-issues,marriage",0,pants-fire
Rhode Island is the only state where officers at state-supported [colleges] carry out their duties unarmed.,glenford-shibley,"education,guns,public-safety,states",1,mostly-true
Says the United States has the highest corporate tax rate in the world.,joseph-kyrillos,"corporations,taxes",1,mostly-true
"It was allowed, referring to her email practices.",hillary-clinton,"homeland-security,technology",0,false
The law is very clear! 'The monies recouped from the TARP shall be paid into the general fund of the treasury for the reduction of the public debt.',judd-gregg,economy,1,true
"Our veterans, in many cases, are being treated worse than illegal immigrants.",donald-trump,"immigration,veterans",0,false
Says Paul Ryan tried to change the whole game for Social Security,barack-obama,"federal-budget,message-machine-2012,retirement,social-security",1,half-true
"Says Rob Portman was a registered foreign agent whose client was Haiti, at a time when the Baby Doc, Duvalier, who was a despot, was killing people.",ted-strickland,"corrections-and-updates,foreign-policy",0,barely-true
Recent solar energy policies in Georgia have resulted in rate hikes and did not result in solar becoming any more economically viable.,americans-prosperity-florida,energy,0,pants-fire
Says President Barack Obamas acceptance of an Islamic order and gold medal was unconstitutional.,facebook-posts,"foreign-policy,legal-issues",0,barely-true
"In 2010, the non-partisan Government Accountability Office found that only 6.5 percent of the U.S.-Mexico border was under full control of the Border Patrol.",lamar-smith,immigration,1,mostly-true
Not one tax has been raised since Ive been governor.,chris-christie,taxes,1,half-true
"Demand for transportation choice is on the rise, with 14 percent more Ohioans riding passenger trains over the past year.",ohio-department-transportation,"federal-budget,infrastructure,transportation",1,true
A poll conducted in Egypt revealed that 80 percent of Egyptians oppose receiving foreign aid from the United States.,barry-hinckley,"federal-budget,foreign-policy",1,true
We spend twice as much per capita on health care as any other nation on Earth.,bernie-s,health-care,0,false
Says the Texas Education Agency follows up to make sure undocumented immigrants paying in-state tuition at Texas colleges are applying for permanent residency.,rick-perry,immigration,0,false
Says 18 states and the District of Columbia have voted Democratic in six consecutive presidential elections.,george-will,elections,1,true
Hidden in the healthcare.gov code is language that means users waive any reasonable right to privacy of your personal information.,joe-barton,"health-care,privacy,technology",0,false
One of the most recent polls said 75 percent of the American people have said either don't do anything or start over (on health care reform).,jon-kyl,health-care,1,mostly-true
Most military experts say there is anywhere between 25 and 30 members of al Qaeda in Afghanistan.,david-cicilline,afghanistan,0,barely-true
The average American is working through the month of May just to pay off the government.,mike-huckabee,taxes,1,half-true
Says Kelly Ayotte stands with the Washington gun lobby. They fund her campaigns.,americans-responsible-solutions,"campaign-finance,guns,voting-record",1,half-true
"Barack Obama's network of small donors constitutes a ""parallel public financing system.""",barack-obama,ethics,1,half-true
"In Cranston, it costs $5,000 to $6,000 to send out community notifications on just one Level 3 sex offender.",peter-palumbo,"children,crime,criminal-justice",0,false
"While the countrys economy was battered, nine states with no income tax actually grew jobs from 2001 to 2010.",bettylou-decroce,"income,jobs,states,taxes",1,half-true
"The United States is not building the aircraft, the long-range bombers, the additional aircraft carriers, the nuclear submarines.",marco-rubio,military,0,false
"Every year we spend roughly $500 billion on tax compliance. That is roughly the budget of our entire military, entirely wasted on tax compliance.",ted-cruz,"federal-budget,military,taxes",0,false
"They say teachers only make on averagein New Jersey 60,000 dollars a year.They only work 180 days.",chris-christie,education,1,mostly-true
"I can put 10,000 people to work. Electricians, plumbers, sheet metal workers -- by retrofitting all of the state buildings for energy independence or efficiency.",roy-barnes,energy,1,half-true
Exporters are using a federal loophole to deceptively sell products made from cat and dog fur to U.S. consumers.,hank-johnson,trade,1,true
The city of Atlanta has either the highest or second-highest average water bills in the country.,carla-smith,"taxes,water",1,true
"Mitt Romneys and Bain Capitals profits from KB Toys, which later went out of business, were described by the Boston Herald as disgusting.",winning-our-future,"candidates-biography,message-machine-2012",0,barely-true
Roy Coopers refusal to do his job is costing taxpayers money.,pat-mccrory,"ethics,legal-issues,public-service,states",0,barely-true
"In exchange for five minutes with Bill Clinton, the government of Qatar was going to give $1 million to the Clinton Foundation.",mike-pence,foreign-policy,1,mostly-true
Speaker Rubio supported gun restrictions that included background checks and waiting periods.,charlie-crist,guns,1,true
Salaries of Austin residents who dont work for city government have not been going up 3 percent a year for the last several years.,don-zimmerman,"city-budget,city-government,economy,jobs",1,mostly-true
"She (Kagan) took money from Goldman Sachs just like her boss, Obama.",michael-savage,"campaign-finance,kagan-nomination,pundits,supreme-court",1,half-true
Did you know that in 2013 over 50 percent of all babies born in Oregon were Hispanic?,betsy-miller-jones,"children,diversity,education",0,false
We are one of only two states to have eight consecutive months of declining unemployment. Twenty-one states had increased unemployment last month. Ours went down.,ted-strickland,"economy,job-accomplishments,jobs",1,true
"Barack Obama wants to ""unilaterally disarm our nation.""",chain-email,military,0,false
On an earmark moratorium.,kay-bailey-hutchison,federal-budget,0,false
Milwaukees problems include 52 percent black male unemployment.,marvin-pratt,"economy,jobs",0,false
Rob Cornilles has disputed for two years a news story that said he said he would cut Social Security and Medicare programs before trimming the U.S. defense budget.,rob-cornilles,"medicare,social-security",0,barely-true
Says Texas Railroad Commissioner Michael Williams has attended more than 150 tea party gatherings.,dean-wright,"bipartisanship,candidates-biography",0,false
Harry Reid has voted to give special tax breaks to illegal aliens.,sharron-angle,"immigration,message-machine,taxes",0,false
Job growth in the United States is now at the fastest pace in this countrys history.,david-simas,"economy,jobs",0,false
"When asked about equal pay for women, (Rubios) quote was that it was a waste of time.",patrick-murphy,"labor,women",1,half-true
Atlanta has issued an increasing number of citations - and collected an increasing amount of revenue - since Mayor Kasim Reed took office in 2010.,reader-email,"crime,public-safety",1,mostly-true
Says he was known as Veto Corleone for cutting spending as Florida governor.,jeb-bush,state-budget,1,true
The last time Republican U.S. Senate candidates beat more than two (incumbents) was 1980.,sean-spicer,elections,1,true
On how to respond to Puerto Ricos debt crisis.,sean-duffy,"debt,deficit",1,true
The State of Rhode Island has the worst state-funded pension in the country.,helen-glover,"deficit,pensions,state-budget,state-finances",0,barely-true
In 2009 Hillary Clinton was at the State Department working with U.S. corporations to pressure Haiti not to raise the minimum wage to 61 cents an hour from 24 cents.,lee-camp,"foreign-policy,labor,workers",1,half-true
"More than any Republican governor in the 2014 elections, I took a higher percentage of the Republican voteand yet I also carried independents by 12 points.",scott-walker,"candidates-biography,elections,job-accomplishments,states",1,mostly-true
"After the 2012 redistricting, Wisconsin has competitive congressional districts.",paul-ryan,redistricting,0,barely-true
(John McCain) was even mentioned as a running mate with John Kerry.,citizens-united-political-victory-fund,elections,1,true
I've cast a couple of 99-1 votes and been the lone dissenter.,fred-thompson,candidates-biography,1,true
Says hes never asked for more than inflationary budget increases in his 10 budgets as Milwaukee County sheriff,david-clarke-jr,"county-budget,criminal-justice",0,false
"Under New York Mayor Bill de Blasio, homicides are up by 20 percent, and subway delays have soared 45 percent.",greg-gutfeld,"crime,transportation",0,barely-true
And delivered more tax relief than the other Republicans combined.,rudy-giuliani,taxes,1,mostly-true
"Says U.S. Rep. Lamar Smith supported the $700 billion Wall Street bailout in 2008, ""but now he is standing in the way of reforms that would assure these bailouts would never happen again.",lainey-melnick,"campaign-finance,economy,financial-regulation",0,barely-true
#GradInsurance debacle is a DIRECT result of #ObamaCare. #MIZZOU has to break the law to do the right thing.,caleb-rowden,"education,health-care",1,half-true
Says President Obama has waived the work requirement for welfare.,rick-santorum,welfare,0,pants-fire
7 out of 10 Oregon families living in poverty have at least one parent who works.,oregon-center-public-policy,"children,families,income,poverty,welfare",1,mostly-true
Ninety-seven percent of the time. Thats how often Mark Warner votes with President Obama.,republican-party-virginia,"message-machine-2014,voting-record",1,true
Says Rick Perry is a 25-year incumbent.,bill-white,"candidates-biography,job-accomplishments",0,barely-true
"Says an array of statistics show that conditions in some parts of Baltimore rival that of the West Bank in Palestine, North Korea, and distressed cities in Nigeria, India, China and South Africa.",bernie-s,"poverty,public-health",1,mostly-true
"The House passed a pay-as-you-go rule that said, ""If you wanted to have an investment, an entitlement, etc., you had to pay for it.""",nancy-pelosi,"federal-budget,stimulus",1,half-true
The numbers make it clear that Georgia voters are increasingly taking advantage of early voting opportunities.,brian-kemp,education,1,true
Says Ocean Spray is moving its Bordentown processing facility to Pennsylvania largely because of costs associated with the Regional Greenhouse Gas Initiative.,diane-allen,"cap-and-trade,climate-change,economy",0,false
On running for the presidency in 2012,chris-christie,elections,1,true
Rhode Island is almost dead last among Northeastern states in the length of time first-degree murderers must spend in prison before theyre eligible for parole.,leonidas-raptakis,"crime,criminal-justice,legal-issues,states",1,true
"All the really great programs in American history, Social Security, was done without Republicans. Medicare was done without Republican support until the last vote where they realized they had to get on board.",howard-dean,"health-care,history,medicare",0,false
Diane Black voted to fund Obamacare.,lou-ann-zelenik,"congress,congressional-rules,health-care",0,false
"Hurricane Sandy, the most destructive Atlantic storm ever.",environment-new-jersey,"climate-change,environment,weather",0,barely-true
"The Hispanic population in Gwinnett and Henry counties has increased by 153 percent and 339 percent, respectively, since 2000 while Republican presidential candidates are getting a smaller percentage of the vote in those counties.",karl-rove,elections,1,mostly-true
I was the most bipartisan senator in the United States Senate.,scott-brown,"bipartisanship,voting-record",1,mostly-true
"Says Gov. Scott Walker raises the pay of inmates, but we dont raise the pay of staff in our correctional institutions.",marty-beil,"criminal-justice,income,state-finances,unions,workers",0,barely-true
The current debate over authorizing military action against the Islamic State would be the first time Congress would place limits on the commander-in-chiefs ability to be commander-in-chief.,adam-kinzinger,"congress,history,military,terrorism",0,false
U.S. debt is now equal to 100 percent of the GDP.,rob-portman,"deficit,federal-budget",1,mostly-true
Tom Ganley supports a 23 percent national sales tax that would raise taxes on the middle class while giving a huge tax break to millionaires like himself.,ohio-democratic-party,taxes,0,barely-true
Pat Toomey still supports privatizing Social Security.,joe-sestak,"message-machine,market-regulation,social-security",1,half-true
The marijuana that kids are smoking today is not the same as the marijuana that Jeb Bush smoked 40 years ago.,carly-fiorina,drugs,1,true
Barack Obama voted against born alive legislation in Illinois that was virtually identical to the federal law.,national-right-life-committee,abortion,1,true
"Says Trump shirts are made in Bangladesh, Trump suits in Mexico, Trump Vodka in the Netherlands, Trump crystal barware in Slovenia and his cufflinks and ties in China.",funny-or-die,"candidates-biography,corrections-and-updates,jobs",1,mostly-true
Says President Barack Obama has opened up no new trade relationships with other nations.,mitt-romney,"economy,foreign-policy,new-hampshire-2012,trade",0,false
Says taxpayer subsidy for the Oregon Convention Center hotel jumped $100 million in closed-door sessions,coalition-fair-budget-priorities,transparency,1,true
"Says you can buy four light bulbs for $1.99 at Walmart, while a single compact fluorescent lamp (CFL) costs $10 a pop.",joe-barton,"energy,market-regulation",0,barely-true
"(Jeb) Bush, not the State of Florida, decided which private emails to disclose.",american-bridge-21st-century,transparency,1,mostly-true
History tells us that job growth always lags behind economic growth.,barack-obama,economy,1,true
Bill Howell has been the consistent force behind every major tax increase in Virginia in the last decade.,susan-stimpson,"taxes,voting-record",1,mostly-true
"More than 9,000 Rhode Island voters used the Moderate Party master lever mechanism and they didnt have a single Moderate on their ballot.",kenneth-block,elections,1,mostly-true
President Obama is attacking Paul Ryan on Medicare even though it is his administration with the help of Jim Langevin who cut $716 billion from Medicare.,michael-riley,medicare,1,half-true
Says Hillary Clinton has even deleted this record of total support (for the Trans-Pacific Partnership trade agreement) from her book.,donald-trump,"candidates-biography,economy,foreign-policy,history,job-accomplishments,trade",0,pants-fire
"Obama says Iran is a 'tiny' country, 'doesn't pose a serious threat.'",john-mccain,foreign-policy,0,false
Barbara Boxers worried about the weather instead of terrorism as the biggest threat to national security.,carly-fiorina,"candidates-biography,environment,homeland-security,message-machine,terrorism",0,pants-fire
We spend three times more on entitlements and debt services than we do on defense.,sarah-palin,"federal-budget,social-security",1,true
"In the 2014 elections, the American people overwhelmingly said we dont want Obamacare and we dont want amnesty.",ted-cruz,"health-care,immigration,polls",0,false
Dan Patrick got caught not paying his taxes and pocketed his employees payroll taxes.,david-dewhurst,"bankruptcy,candidates-biography,taxes",1,half-true
Says Merrick Garland authored an opinion that resulted in the release of 17 Guantanamo Bay prisoners who were part of a group of violent Islamist extremists the State Department had designated as terrorists.,pat-toomey,"foreign-policy,military,supreme-court,terrorism",0,barely-true
"Congress has 11 percent approval ratings, yet 96.4 percent of incumbent lawmakers were re-elected in 2014.",facebook-posts,congress,1,true
Letting the Bush tax cuts expire would raise taxes on small businesses.,eric-cantor,"economy,small-business,taxes",0,barely-true
"Statistics bear out that any time a country, a state, makes more restrictive abortion laws ... fatalities go up and abortions actually increase.",nickie-antonio,"abortion,government-regulation,women",0,barely-true
The presidents budget would take ... non-defense spending to its lowest level ... as a percentage of the economy since JFK.,barack-obama,"economy,federal-budget,military",1,mostly-true
"Of the approximately 6 million disenfranchised felons in the United States, one-quarter are Floridians.",desmond-meade,"crime,elections",1,mostly-true
"Obama ""basically threatened to bomb Pakistan.""",hillary-clinton,foreign-policy,0,pants-fire
The Governor did not consult members of his own party before he released his [transportation] plan.,ward-armstrong,transportation,0,false
Ohio has lost more population than every other state in the country except for two.,john-kasich,economy,0,false
"Here in California, Donald Trump has given $12,000 to Jerry Brown, Gavin Newsom and Kamala Harris.",ted-cruz,"campaign-finance,elections",1,mostly-true
Gov. Rick Perry has overseen the highest Texas unemployment in 22 years.,back-basics,economy,1,half-true
On support for the auto bailouts.,terri-lynn-land,"congress,transportation",0,false
"Ed Gillespies 2006 book promoted an individual health care mandate, and recommends that it be enforced by the IRS through the income tax code.",democratic-party-virginia,"medicaid,taxes",1,mostly-true
When Republican extremists tried to take away abortion rights Blake Rocap stopped them.,blake-rocap,"abortion,candidates-biography",0,barely-true
Says Obama refuses to recognize Jerusalem as the capital of Israel.,mitt-romney,"foreign-policy,israel,message-machine-2012",1,half-true
Says he helped to draft parts of the Dodd-Frank Wall Street reform bill.,tim-canova,"congress,financial-regulation",1,half-true
Says income tax rates under Eisenhower were as high as 90 percent.,bernie-s,taxes,1,true
American homeownership rate in Q2 2016 was 62.9% - lowest rate in 51yrs.,donald-trump,"economy,housing",1,mostly-true
"Romneys Medicare plan was estimated to cost the average senior about $6,000 a year.",barack-obama,"debates,medicare,retirement",1,half-true
"If we had the same staffing ratio (of officers to residents) as Seattle, wed have 300 more officers in our department.",michael-reese,public-safety,1,true
Department of Veterans Affairs doctors are prohibited from recommending medical marijuana.,campaign-regulate-marijuana-alcohol,marijuana,1,true
"When career politician Daniel Webster became speaker of the House, he wasted $32,000 of our money on a spiral staircase for his office.",alan-grayson,"candidates-biography,ethics,message-machine,state-budget,taxes",1,mostly-true
Texas had the highest level of turnout than ever before in the primary.,greg-abbott,elections,1,half-true
"Says the difference between her and Barack Obama is ""about 35 years of experience.""",hillary-clinton,candidates-biography,0,false
22 veterans take their own lives each day.,kamala-harris,veterans,1,mostly-true
"The United States is the only major country on earth that doesnt guarantee health care to all people as a right, not a privilege.",bernie-s,health-care,1,half-true
Said former U.S. Ambassador to Kenya Scott Gration was forced to resign two years ago because of his personal use of emails.,david-shuster,"ethics,transparency",0,barely-true
Says Florida is a model for successful pretrial release programs.,john-oliver,"crime,criminal-justice",1,half-true
If you have ever visited Nashville or Washington D.C. you will see MANY names and initials carved into ... desks.,julia-hurley,government-efficiency,0,barely-true
Redistribution has never been a characteristic of America.,mitt-romney,"economy,federal-budget,history,taxes",0,pants-fire
Tampa is the strip club capital of the world.,ellyn-bogdanoff,"economy,pop-culture",0,false
Said they reached a power-sharing agreement with Republican Lt. Gov. Casey Cagle,republican-state-senators,elections,0,pants-fire
Says between 6 and 20 bicycles can be parked in the space required by one car.,earl-blumenauer,transportation,1,half-true
I unsealed my records at Marquette University.,scott-walker,"candidates-biography,education,elections",0,false
Says that U.S. Rep. Allen West is a constituent of mine.,debbie-wasserman-schultz,"elections,redistricting",1,true
"The U.S. gives foreign aid to Cuba and Venezuela, even though those countries are our enemies.",ted-poe,"federal-budget,foreign-policy",0,false
Says Texas wildfires are linked to climate change.,barack-obama,"climate-change,environment",1,half-true
"if the Agreement goes into effect, the millions of Mexican citizens who will become eligible for Social Security benefits may have a far stronger claim to benefits and protection against cuts than U.S. citizens!",senior-citizens-league,social-security,0,false
"Earlier this year, [John DePetro] was accused of sexually assaulting a female co-worker.",our-daughters-ri,"crime,legal-issues,pundits,unions,women",0,pants-fire
"Photo of ""tea party"" protests shows crowd sprawling from Capitol to Washington Monument",blog-posting,history,0,pants-fire
The approval of the United States was 20 points higher when (Hillary Clinton) left the secretary of states office than when she took it.,bill-clinton,"foreign-policy,job-accomplishments,polls",1,half-true
Every one of the 67 supervisors of elections in Florida refused to carry out the effort to remove noncitizens from the voter rolls.,moveon,"elections,message-machine-2012",0,false
Bill Richardson is the only major Democratic candidate with a plan to withdraw all American troops from Iraq. All of the other major Democratic candidates support leaving American troops in Iraq indefinitely.,bill-richardson,iraq,1,mostly-true
I earned more votes in the state of Wisconsin than Donald Trump did in New York.,ted-cruz,elections,1,true
"There are 278 Republicans in Congress. (With Eric Cantors defeat), they are now all Christian and all white except for one black senator, who was appointed.",bill-maher,"congress,diversity,religion",1,half-true
"If the Stamp Farm wind turbine is built, the health risk of flicker impact created by shadows of blades of turbines poses real and significant health risks, particularly seizures.",laurence-ehrhardt,"energy,environment",0,pants-fire
Gov. Crist's veto also clears the way for taxpayer funding of abortion in Florida.,marco-rubio,abortion,0,false
Says she condemned violence at a campaign stop in Arizona in March.,sarah-palin,elections,1,true
"According to the most recent report, Wisconsins high school graduation rates are also up again -- to third best in the country.",scott-walker,"children,education,states",1,mostly-true
"In Iran in 1979, the extremists hijacked the broad-based popular revolution against the Shah and established a brutal theocracy.",hillary-clinton,"foreign-policy,history",1,mostly-true
"On immigration reform, Marco Rubio all along has been saying, We have to have border security first and then he gets on Spanish TV, he ends up saying, No, no. That will never get in the way.",dana-rohrabacher,"candidates-biography,immigration",0,barely-true
"Dem-controlled Ohio House voted to change the process, to create objective criteria, to modify the Constitution ... to take politics out of the efforts to draw legislative boundaries.",armond-budish,redistricting,0,false
"Over the last few years, weve put more people back to work than all the other advanced economies combined.",barack-obama,"economy,jobs,labor,workers",1,half-true
"Obama ""voted against critical resources: no to individual body armor, no to helicopters, no to ammunition, no to aircraft.""",republican-national-committee-republican,military,0,barely-true
Says U.S. Sen. Sherrod Brown is responsible for over $14 trillion in debt.,jim-demint,"deficit,federal-budget",0,false
"Under Tom Barretts leadership, violent crime in Milwaukee has decreased by over 20% -- to its lowest levels in more than 20 years.",tom-barrett,"crime,job-accomplishments",0,pants-fire
Barack Obama appeared in the video for 'Whoomp! (There it is!)',blog-posting,"candidates-biography,job-accomplishments",0,pants-fire
"Florida has the most concealed weapon permits in the nation, nearly double that of the second state, which is Texas.",jeb-bush,"corrections-and-updates,guns",1,mostly-true
"Under President George W. Bush, the U.S. had 52 months of ... uninterrupted job creation and revenues were at an all-time high in 2007.",ed-gillespie,"economy,history,taxes",1,mostly-true
Says Gov. Scott Walker didnt balance the budget so we now have a larger state deficit 14 months into (his) term than we did when he was elected.,kathleen-falk,state-budget,1,half-true
"Says that compared to direct sales by manufacturers, consumers save avg of $500 per car sold through franchised dealer model.",texas-automobile-dealers-association,transportation,0,false
Says that Josh Mandel voted to let insurance companies deny coverage for autism,national-education-association,"education,health-care,message-machine-2012",1,mostly-true
"Prior to Obamacare here in Wisconsin, 95 percent of Wisconsinites were covered by insurance. After Obamacare, 95 percent of Wisconsinites were covered by insurance. It hasnt had an impact.",ron-johnson,health-care,0,false
"Secretary Clinton changes her position on (gun issues) every election year, it seems, having one position in 2000 and then campaigning against President Obama and saying we dont need federal standards.",martin-omalley,"candidates-biography,guns",1,half-true
The rifle used by Omar Mateen shoots off 700 rounds in a minute.,alan-grayson,guns,0,barely-true
"Building and running the Atlanta Streetcar is projected to create 1,399 jobs.",john-lewis,transportation,0,false
